CountyCd,PrcCode,FullPrc,prec_name,population
OK,227,OK00000227,OKANOGAN AIRPORT,3
OK,228,OK00000228,BREWSTER AIRPORT,4
OK,229,OK00000229,TONASKET AIRPORT,2
OK,230,OK00000230,OMAK #27,17
OK,231,OK00000231,OMAK RURAL,7
OK,232,OK00000232,RODEO TRAIL #2,2
OK,233,OK00000233,RODEO TRAIL #3,0
OK,234,OK00000234,HORIZON,21
OK,235,OK00000235,ISLAND,7
OK,238,OK00000238,OKANOGAN #16,97
OK,26,OK00000026,MONSE #2,2
OK,28,OK00000028,NIGHTHAWK,26
OK,300,OK00000300,OKANOGAN #14,0
OK,301,OK00000301,OKANOGAN #15,0
OK,303,OK00000303,OMAK #25,19
OK,304,OK00000304,OMAK #26,0
OK,305,OK00000305,OMAK AIRPORT,4
OK,306,OK00000306,OMAK UNINCORPORATED,0
OK,307,OK00000307,TWISP AIRPORT,6
OK,308,OK00000308,OROVILLE AIRPORT,4
OK,309,OK00000309,DEEP BAY,2
OK,310,OK00000310,WILDERNESS,0
OK,73,OK00000073,SOUTH OMAK,5
OK,80,OK00000080,RODEO TRAIL #1,18
